"O principal objetivo da manutenção industrial no refino é:","Reduzir apenas custos de manutenção","Garantir confiabilidade, disponibilidade e segurança de processo","Substituir equipamentos antigos","Eliminar totalmente falhas","b"
"A manutenção na Petrobras é classificada em:","Corretiva e preventiva","Preditiva e prescritiva","Rotina e parada programada","Planejada e não planejada","c"
"A manutenção de rotina aplica‑se a ativos:","Não liberáveis em campanha","Sob inspeção legal","Liberáveis em campanha","Críticos de segurança","c"
"Paradas programadas ocorrem principalmente devido a:","Falhas inesperadas","Redução de mão de obra","Cumprimento legal, inspeções e planos preventivos","Falta de sobressalentes","c"
"Segundo a Petrobras, a estratégia predominante para equipamentos dinâmicos é:","Corretiva","Preventiva por tempo","Prescritiva","Regenerativa","c"
"A manutenção prescritiva caracteriza‑se por:","Intervir apenas após a falha","Manutenção baseada somente em tempo","Monitoramento com alarmes ativos e desvios de condição","Substituição periódica de componentes","c"
"O software utilizado para manutenção prescritiva na Petrobras é:","SAP PM","Power BI","ETAPRO","ARIBA","c"
"Segundo a ISO 14224, falha crítica é:","Alteração sem perda funcional","Falha funcional do equipamento","Defeito potencial","Falha escondida","b"
"Segundo a SAE JA1012, falha funcional é:","Defeito incipiente","Falha não crítica","Perda da função requerida","Desvio operacional","c"
"Defeito (falha potencial) é caracterizado por:","Parada imediata do equipamento","Necessidade de parada programada","Alteração que não causa perda imediata da função","Falha irreversível","c"
"A curva P‑F representa:","Vida útil do equipamento","Ciclo de projeto do equipamento","Evolução da falha potencial até a falha funcional","Custo de manutenção acumulado","c"
"Quanto mais tarde a falha é detectada na curva P‑F:","Menor é o custo","Maior é o custo da falha","Menor é o impacto operacional","Não altera custos","b"
"A manutenção corretiva NÃO planejada ocorre quando:","A falha é prevista pela preditiva","A função não é afetada","A falha funcional afeta a operação","Existe equipamento reserva","c"
"A manutenção corretiva planejada ocorre quando:","A falha já parou o equipamento","O tempo de reparo é imediato","A falha potencial foi identificada antecipadamente","Não existe monitoramento","c"
"A manutenção preventiva deve ser aplicada quando:","Sempre que possível","A preditiva não é viável","O equipamento falha aleatoriamente","Existe reserva estratégica","b"
"A manutenção pró‑ativa tem como foco:","Corrigir falhas funcionais","Reduzir tempo de reparo","Eliminar a causa básica das falhas","Aumentar estoque de sobressalentes","c"
"A manutenção detectiva é utilizada para:","Monitorar vibração","Identificar falhas ocultas","Trocar peças desgastadas","Avaliar falhas críticas","b"
"Manutenção regenerativa é caracterizada por:","Intervenção humana constante","Autocorreção com inteligência artificial","Manutenção por tempo","Estratégia exclusivamente corretiva","b"
"O custo global da falha inclui:","Apenas custo de reparo","Apenas custo de mão de obra","Reparo + consequências + investimento em mitigação","Apenas custo de sobressalentes","c"
"Manutenção deve ser centrada em:","Equipamentos","Custos","Função e desempenho","Sobressalentes","c"
"O RCM (Reliability Centered Maintenance) objetiva:","Executar manutenções corretivas","Definir a melhor estratégia para cada falha","Reduzir equipes de manutenção","Padronizar sobressalentes","b"
"No RCM, o ponto central da análise é:","O tipo de equipamento","O fabricante","A função do ativo","O custo do sobressalente","c"
"O TPM tem como foco principal:","Confiabilidade do equipamento","Gestão de ativos","Pessoas e produtividade","Prescritiva","c"
"A Petrobras aplica principalmente:","Apenas TPM","Apenas RCM","TPM + RCM conforme o processo","Manutenção corretiva","c"
"A gestão da confiabilidade na Petrobras é monitorada por:","Relatórios manuais","Auditorias externas","Indicadores e painéis (Power BI)","Somente análises de falhas","c"
"O cadastro de ativos na Petrobras deve ser feito por:","Tipo de equipamento","Lista patrimonial","Função e criticidade","Fabricante","c"
"O indicador de funções críticas é visto no padrão:","PP‑2REF‑00002","PE‑2REF‑00086","PE‑2REF‑00123","PP‑1PBR‑00150","b"
"Antes de planejar uma intervenção corretiva, deve‑se:","Comprar sobressalentes","Confirmar a falha por campo e monitoramento","Emitir PT","Programar parada","b"
"A segurança da intervenção é garantida pelos instrumentos:","SAP, SCM e Power BI","PT, AR e LIBRA","RC e PVM","TPM e RCM","b"
"A Permissão para Trabalho está associada ao padrão:","PE‑2REF‑00178","PE‑2RGN‑00094","PE‑2REF‑00280","PP‑2REF‑00003","b"
"A intervenção em equipamentos dinâmicos exige obrigatoriamente:","Apenas ferramenta adequada","Documentação técnica completa","Equipamento reserva","Contrato externo","b"
"A metodologia usada para análise de falhas repetitivas é:","Árvore de falhas","FMEA","5 Porquês","HAZOP","c"
"Para falhas críticas e inesperadas utiliza‑se:","5 Porquês","Manutenção preventiva","Árvore de Falhas","TPM","c"
"Grandes máquinas críticas devem ter manutenção em:","Rotina","Emergência","Paradas programadas","Manutenção corretiva","c"
"O escopo de manutenção de grandes máquinas deve ser definido:","Após a parada","6 meses antes","1 ano antes","2 anos antes","d"
"Gestão de ativos segue como referência a norma:","ISO 9001","ISO 14001","ISO 55000","ISO 31000","c"
"O objetivo da gestão de sobressalentes é garantir:","Redução de estoque","Disponibilidade e qualidade","Apenas redução de custo","Somente velocidade de compra","b"
"O sistema corporativo principal para cadastro é:","Klassmatt","SCM","SAP","Power BI","c"
"A falta de sobressalentes impacta diretamente:","Somente custo","Apenas confiabilidade","Disponibilidade, qualidade e SMS","Apenas manutenção preventiva","c"
"O fluxo de suprimento inclui:","RC, PT, LIBRA","RC, Pedido de Compra, PVM, Petronect","PTM, AR, SAP","NORTEC, COMOS","b"
"Compras na Petrobras seguem a lei:","8.666","9.784","13.303","14.133","c"
"Compras urgentes e de baixo valor podem usar:","Processo normal","Compra regionalizada","Cartão corporativo","Inexigibilidade técnica","c"
"ARIBA é utilizado principalmente para:","Monitorar equipamentos","Compras e pedidos","Documentação técnica","Gestão de manutenção","b"
"O Petronect é utilizado para:","Monitoramento de condição","Gestão de ativos","Processos de compra e licitação","Controle de falhas","c"
"Sobressalentes mal especificados impactam:","Apenas tempo de compra","Apenas custo","Confiabilidade e TMEF","Apenas estoque","c"
"Confiabilidade aplicada desde o projeto busca:","Redução de inspeção","Redução do custo de compra","Evitar falhas ao longo do ciclo de vida","Facilidade de substituição","c"
"Manutenção 4.0 integra:","Prescritiva e corretiva","IA, dados, conhecimento e confiabilidade","Apenas sensores","Apenas automação","b"
"A gestão do conhecimento é importante porque:","Reduz estoque","Substitui normas","Mantém desempenho ao longo do tempo","Elimina planejamento","c"
"Indicadores de manutenção são usados para:","Justificar falhas","Monitorar desempenho e efetividade","Controlar operadores","Aprovar compras","b"
"O foco final da manutenção estratégica é:","Aumentar falhas","Reduzir equipe","Confiabilidade, segurança e sustentabilidade","Apenas reduzir custos","c"