"O que é mensurando na metrologia?","A propriedade que se deseja medir","O instrumento usado na medição","O erro obtido na medição","A unidade de medida utilizada","A"
"Qual órgão é responsável pela metrologia no Brasil?","IBGE","Inmetro","ANP","Anatel","B"
"Erro sistemático é caracterizado por:","Imprevisibilidade","Ser previsível e constante","Ser causado por mau uso","Ser impossível de medir","B"
"Qual unidade pertence ao sistema imperial?","Milímetro","Metro","Polegada","Quilômetro","C"
"Converter medidas entre sistemas métrico e imperial é importante porque:","Facilita apenas cálculos matemáticos","Muitas peças são fabricadas em padrões diferentes","Evita o uso de instrumentos digitais","Reduz o tempo de medição","B"
"A medição angular direta ocorre quando:","Usa-se trigonometria para achar ângulos","O valor angular é lido diretamente em um instrumento","Não é necessário instrumento","Usa-se sempre cálculo avançado","B"
"O que é calibração?","Erro calculado de um instrumento","Relação entre padrão e indicação do instrumento","Ajuste físico do instrumento","Medição repetitiva","B"
"Erro grosseiro geralmente decorre de:","Condições ambientais","Variações de temperatura","Mau uso ou mau funcionamento do sistema de medidas","Erros sistemáticos","C"
"A rastreabilidade garante:","A repetição infinita da medição","A relação documentada entre calibrações até o padrão","A eliminação total dos erros","A criação de novos padrões","B"
"Medições lineares exigem:","Apenas uso de régua","Conversão entre sistemas métrico e imperial","Somente instrumentos digitais","Nenhuma conversão","B"
"O goniômetro é um instrumento utilizado para medir:","Comprimentos lineares","Profundidade","Ângulos","Curvatura","C"
"O goniômetro simples também é conhecido como:","Clinômetro","Transferidor de grau","Teodolito","Nível ótico","B"
"A menor divisão do goniômetro simples é:","10°","0,5°","1°","5°","C"
"O goniômetro de precisão possui graduações de:","0 a 180°","0 a 360°","0 a 45°","0 a 90°","D"
"No goniômetro de precisão, o articulador gira junto com:","A base","O disco do vernier","A régua de apoio","O transferidor","B"
"O transferidor de ângulos é utilizado principalmente para:","Alta precisão industrial","Medições simples e diretas","Topografia de campo","Medições geodésicas","B"
"O teodolito é um instrumento usado para medir:","Apenas ângulos horizontais","Ângulos horizontais e verticais com alta precisão","Somente inclinação","Somente coordenadas geográficas","B"
"O inclinômetro é empregado para medir:","Ângulos de torção","Ângulos de inclinação em relação à horizontal","Deslocamentos lineares","Níveis de pressão","B"
"Sistemas GNSS integram medições angulares com:","Massa específica","Coordenadas geográficas","Temperatura e pressão","Somente dados óticos","B"
"Um dos fatores que podem interferir em medições angulares é:","Cor da superfície medida","Vibrações e variações de temperatura","Tipo de tinta da peça","Formato do operador","B"
"O paquímetro é utilizado para medir:","Somente diâmetros externos","Somente profundidade","Medidas internas, externas, ressaltos e profundidades","Somente espessuras","C"
"O paquímetro é recomendado para:","Peças grandes","Peças pequenas que exigem medições rápidas e exatas","Apenas topografia","Somente uso laboratorial","B"
"O erro de paralaxe ocorre devido a:","Uso inadequado do cursor","Desvio óptico causado pelo ângulo de visão","Falta de lubrificação","Divisões do nônio gastas","B"
"O paquímetro digital elimina:","A necessidade de calibração","O erro de paralaxe","A necessidade de escala fixa","A leitura em milímetros","B"
"O paquímetro com bico móvel é utilizado para:","Peças perfeitamente cilíndricas","Medições de peças planas","Peças angulares, cônicas e com diâmetros diferentes","Somente engrenagens","C"
"O paquímetro de profundidade é destinado a medir:","Somente ressaltos","A profundidade de furos e cavidades","Ângulos internos","Espessuras finas","B"
"O paquímetro duplo é utilizado principalmente para:","Medições gerais","Medição de dentes de engrenagens","Medições de diâmetros grandes","Medição de roscas","B"
"Resolução do paquímetro é definida como:","A maior medida possível","A capacidade de ampliar a medição","A menor medida que o instrumento oferece","O número de escalas presentes","C"
"Para transformar polegada em milímetro deve-se:","Dividir por 25,4","Multiplicar por 25,4","Somar 25,4","Multiplicar por 2,54","B"
"A divisão milesimal da polegada facilita:","Cálculos com frações complexas","Exclusivamente cálculos de área","Leitura em graus","Correção de erro de paralaxe","A"
"Na leitura em milímetro, a primeira etapa é:","Somar valores da escala inglesa","Identificar o traço coincidente da escala fixa","Verificar quantas divisões existem à esquerda do zero do nônio","Converter tudo para polegada","C"
"A resolução do nônio em polegada milesimal é:","0.1”","0.01”","0.025”","0.0025”","C"
"Um dos cuidados no uso do paquímetro é:","Medir peças em movimento","Forçar o cursor para evitar folga","Evitar sujeira ou rebarbas na peça","Guardar com pontas totalmente fechadas","C"
"O paquímetro não deve ser usado como:","Nível","Compasso ou martelo","Transferidor","Esquadro","B"
"A conservação adequada inclui:","Deixar o paquímetro sempre fechado","Lavar com água corrente","Limpar e guardar lubrificado se for ficar muito tempo sem uso","Aquecer para evitar oxidação","C"
"O micrômetro é utilizado principalmente para medir:","Comprimento total de peças grandes","Espessura de objetos e peças mecânicas","Ângulos internos","Profundidade de tanques","B"
"O micrômetro possui precisão superior ao paquímetro, podendo atingir:","0,1 mm","0,01 mm e 0,001 mm","1 mm","0,5 mm","B"
"A catraca do micrômetro tem a função de:","Aumentar a força de aperto","Garantir força constante na medição","Travar o fuso permanentemente","Zerar a escala","B"
"O micrômetro de profundidade é utilizado para:","Medição de engrenagens","Medição de rebaixos e cavidades","Medição de ângulos","Medição externa de eixos","B"
"O micrômetro com arco profundo é usado para:","Medições de roscas","Medições de bordas ou partes salientes","Medição de diâmetros internos","Checagem de alinhamento","B"
"O micrômetro para roscas possui hastes especiais para:","Medir passos de engrenagens","Encaixar pontas intercambiáveis adequadas às formas das roscas","Travar o tambor","Medir alturas de dentes","B"
"O princípio de funcionamento do micrômetro baseia-se:","Na compressão hidráulica","No sistema parafuso e porca","Na expansão térmica","No uso de engrenagens internas","B"
"A resolução de um micrômetro cujo fuso tem passo de 0,5 mm e tambor com 50 divisões é:","0,1 mm","0,5 mm","0,01 mm","0,001 mm","C"
"A capacidade de leitura dos micrômetros no sistema métrico varia:","De 10 em 10 mm","De 1 em 1 mm","De 25 em 25 mm","De 5 em 5 mm","C"
"Um dos cuidados na conservação do micrômetro é:","Guardar com os contatos totalmente fechados","Utilizar em peças quentes para compensar dilatação","Untar levemente com vaselina líquida","Medir peças em movimento para agilizar o processo","C"
"O relógio comparador é um instrumento utilizado para:","Medição direta de comprimento","Medição por comparação","Medição de temperatura","Medição de massa","B"
"O movimento dos ponteiros do relógio comparador é resultado de:","Amplificação eletrônica","Amplificação hidráulica","Amplificação mecânica por engrenagens","Expansão térmica","C"
"Uma volta completa do ponteiro principal corresponde a:","0,1 mm de deslocamento","1 mm de deslocamento","10 mm de deslocamento","0,01 mm de deslocamento","B"
"O mostrador do relógio comparador tem 100 divisões, logo cada divisão equivale a:","0,1 mm","0,01 mm","0,5 mm","0,02 mm","B"
"O contador de voltas do relógio comparador serve para:","Registrar oscilações térmicas","Registrar múltiplas voltas do ponteiro principal","Aumentar a precisão do ponteiro menor","Zerar automaticamente o instrumento","B"
"Antes do uso, o relógio comparador deve ser verificado com:","Paquímetro","Micrômetro","Bloco-padrão","Nível ótico","C"
"O relógio apalpador diferencia-se do comparador por:","Ter maior curso de medição","Ter haste rígida e retrátil","Ter haste fixa que se move em arco e maior precisão","Ser usado apenas em topografia","C"
"A medição direta com relógio comparador exige:","Fixação do instrumento em suporte com mesa de desempeno","Leitura da escala em polegadas","Zerar a escala após a medição","Remover a pré-carga manualmente","A"
"Na medição indireta, após usar o padrão, obtém-se a medida da peça:","Somando o padrão à leitura","Subtraindo a leitura do padrão","Dividindo a leitura pelo padrão","Multiplicando a leitura pelo padrão","B"
"O súbito acoplado ao relógio comparador é utilizado para:","Medição de profundidade","Medição de ângulos","Medição de diâmetros internos e verificação de forma","Medição de espessura de chapas","C"
"Um cuidado importante ao usar o relógio comparador é:","Deixar a ponta de contato cair sobre a peça","Evitar choques e sujeira","Usar sem estojo para facilitar o acesso","Lubrificar externamente a escala","B"
"O relógio deve ser guardado:","Com a ponta de contato pressionada","Sem estojo","Limpo e dentro do estojo próprio","Com pré-carga aplicada","C"
"As máquinas de medição 3D medem dimensões e formas geométricas em quantos eixos?","Apenas no eixo X","Nos eixos X e Y","Nos eixos X, Y e Z","Somente no eixo Z","C"
"As máquinas de medir 3D utilizam sensores para capturar coordenadas da peça. Esses sensores podem ser:","Apenas ópticos","Sondas de contato ou feixes de laser","Somente sensores térmicos","Sensores de vibração","B"
"A precisão típica de uma máquina de medição 3D varia entre:","0,5 mm e 1 mm","10 μm e 100 μm","1 μm e 10 μm","1 cm e 5 cm","C"
"O braço de medição 3D se destaca por:","Ser fixo e não permitir mobilidade","Ser portátil e articulado","Medir apenas pequenos componentes","Não possuir sensores integrados","B"
"A precisão típica de um braço de medição 3D varia entre:","0,1 mm e 1 mm","1 μm e 5 μm","10 μm e 50 μm","1 mm e 5 mm","C"
"Calibração e aferição são definidas como:","Correção automática do instrumento","Ajuste mecânico das escalas","Conjunto de operações que relaciona a indicação do instrumento com um padrão","Limpeza e conservação do instrumento","C"
"A calibração consiste na comparação entre:","Dois instrumentos desconhecidos","Um instrumento desconhecido e outro conhecido e rastreado","Dois padrões primários","Instrumentos usados apenas na indústria petroquímica","B"
"A norma internacional que define requisitos para laboratórios de ensaio e calibração é:","ISO 9001","ISO/IEC 17025","ABNT NBR 6158","ISO 14001","B"
"O paquímetro deve ser calibrado em laboratórios:","Comerciais sem acreditação","Qualquer oficina mecânica","Acreditados pela Rede Brasileira de Calibração (RBC)","Somente no fabricante","C"
"A calibração do paquímetro deve incluir:","Apenas verificação de medidas internas","Somente 1 ponto de medição","Seis pontos externos, 1 interno, 1 de profundidade e 1 de ressalto","Apenas medição de peças padrão","C"
"Para evitar danos, o paquímetro deve:","Ser usado como alavanca","Ficar em contato com ferramentas","Evitar choques, quedas e arranhões","Ser guardado aberto","C"
"No manuseio do micrômetro, a pressão correta é garantida por:","Uso de força manual forte","Giro direto do tambor","A catraca, até ouvir ao menos três estalos","Apertos sucessivos no arco","C"
"A norma utilizada para calibração do micrômetro é:","ISO 463","ABNT NBR NM ISO 3611:1997","NBR 10582","ISO/IEC 17025","B"
"A calibração do micrômetro deve verificar:","Apenas o zero","Apenas o paralelismo","Pelo menos 11 pontos incluindo capacidade, flexão e erro de leitura","Somente a leitura centesimal","C"
"A conservação do relógio comparador exige:","Choques leves para testar engrenagens","Guardar fora do estojo","Evitar sujeira e lubrificar internamente","Deixar a ponta de contato pressionada","C"
"Errar é inevitável na medição porque:","Os instrumentos são sempre imprecisos","É impossível eliminar todas as fontes de erro","O operador nunca sabe medir","As grandezas não possuem valores reais","B"
"Para reduzir erros de medição, uma das ações recomendadas é:","Aumentar a força aplicada no instrumento","Calibrações regulares dos instrumentos","Medir sempre ao ar livre","Usar qualquer procedimento disponível","B"
"O resultado de uma medição (RM) é:","Um valor único exato","Sempre maior que o valor verdadeiro","Uma faixa de valores que contém o valor verdadeiro","Um número aleatório","C"
"A expressão RM = RB ± IM significa:","Resultado-base mais erro econômico","Resultado-base com incerteza associada","Resultado máximo permitido","Regra de medição fixa","B"
"A incerteza de medição representa:","Erro grosseiro do operador","Uma margem de dúvida associada ao processo de medição","Valor absoluto do instrumento","A estabilidade térmica do ambiente","B"
"Erro de medição é definido como:","Valor verdadeiro menos indicação","Indicação menos valor verdadeiro","Variação entre instrumentos","Diferença entre operadores","B"
"Erro e incerteza são:","Sinônimos","Independentes, mas sempre iguais","Conceitos diferentes","A mesma coisa em ambientes controlados","C"
"A ISO/IEC 17025 define requisitos para:","Manutenção de motores","Laboratórios de ensaio e calibração","Produção seriada","Auditoria fiscal","B"
"Calibração consiste em:","Ajustar o instrumento até zerar","Comparar a indicação de um instrumento com padrões rastreáveis","Substituir peças desgastadas","Aumentar a resolução do equipamento","B"
"No Brasil, a calibração é regulamentada por:","ABNT","RBC coordenada pelo Inmetro","Ministério da Educação","Ministério da Defesa","B"
"O método de substituição consiste em:","Comparar grandezas diferentes","Comparar alternadamente o objeto e o padrão sob mesmas condições","Zerar o instrumento","Usar apenas sensores eletrônicos","B"
"Um exemplo de método diferencial é:","Calibração de massas padrão","Medição de temperatura","Calibração de blocos-padrão por diferença algébrica","Medição de torque","C"
"O método do zero é caracterizado por:","Aplicar grande força até zerar o instrumento","Anular o efeito da grandeza medida para alcançar equilíbrio","Comparações sucessivas","Utilizar apenas instrumentos digitais","B"
"Procedimento de medição é:","Manual opcional de operação","Conjunto padronizado e documentado de operações de medição","Ordem aleatória de medições","Instrução verbal do supervisor","B"
"Confiabilidade metrológica tem como objetivo:","Comprovar lucro da empresa","Garantir a confiabilidade das medições","Substituir instrumentos antigos","Reduzir custos operacionais","B"
"Rastreabilidade metrológica garante que:","Os instrumentos nunca erram","Os resultados podem ser reproduzidos e remontam a padrões reconhecidos","O operador não precisa ser treinado","A medição dispensa calibração","B"
"O padrão de medição segundo o VIM é:","Um valor escolhido pelo operador","Um valor de referência com incerteza associada","Um valor fixo sem incertezas","A média das últimas medições","B"
"Os padrões internacionais são mantidos por:","Inmetro","ISO","BIPM","Universidades","C"
"O órgão responsável pelos padrões nacionais no Brasil é:","INMETRO","ANP","ABNT","ISO","A"
"A avaliação da conformidade verifica:","Se o produto é bonito","Se um produto, processo ou serviço atende requisitos técnicos","Se o operador entende o processo","A durabilidade estética do item","B"