"Os metais possuem características que os tornam amplamente utilizados na engenharia. Qual das alternativas abaixo descreve corretamente uma propriedade típica dos metais?","Elevada condutividade térmica e elétrica devido à presença de elétrons livres.","Baixa densidade e resistência mecânica comparável aos polímeros.","Alta transparência em aplicações óticas.","Resiliência reduzida em temperaturas extremas.","A"
"Sobre o comportamento dos aços e aços-ligas, bem como suas propriedades mecânicas, é correto afirmar que:","A adição de carbono no aço aumenta sua ductilidade e tenacidade.","Aços de alta liga são definidos como aqueles cujo teor de carbono supera 5%.","A microestrutura dos metais influencia diretamente sua dureza, resistência e tenacidade.","A ferrita é uma fase do aço com alta dureza e solubilidade de carbono.","C"
"Uma das principais diferenças entre materiais cristalinos e amorfos está na organização atômica. Qual das alternativas abaixo descreve corretamente essa diferença?","Materiais cristalinos possuem átomos organizados aleatoriamente, enquanto materiais amorfos têm organização periódica.","Materiais cristalinos possuem uma estrutura atômica ordenada de longo alcance, enquanto materiais amorfos não apresentam ordenação.","Materiais amorfos possuem pontos de fusão bem definidos, enquanto materiais cristalinos não.","Materiais cristalinos são sempre metálicos, enquanto materiais amorfos são sempre cerâmicos.","B"
"A escolha do processo de fabricação depende das propriedades desejadas no material. Por que um virabrequim é mais comumente forjado do que fundido?","A peça forjada apresenta maior resistência mecânica devido à orientação dos grãos durante o processo.","O processo de fundição é mais caro e produz peças com menor resistência à corrosão.","Peças forjadas possuem menor densidade, reduzindo o peso do componente final.","A fundição não permite o uso de ligas de aço carbono devido às altas temperaturas envolvidas.","A"
"Os materiais cerâmicos são conhecidos por sua resistência térmica e baixa ductilidade. Qual das aplicações abaixo é típica para materiais cerâmicos?","Engrenagens automotivas devido à sua alta resistência ao impacto.","Revestimentos de fornos industriais devido à sua resistência ao calor.","Estruturas de aeronaves devido à sua baixa densidade.","Isoladores elétricos devido à sua alta condutividade elétrica.","B"
"Os materiais compósitos combinam propriedades de diferentes materiais para atender a aplicações específicas. Qual das alternativas abaixo representa corretamente uma característica típica dos compósitos?","Baixa rigidez e alta condutividade elétrica.","Resistência mecânica elevada devido à combinação de matriz e reforço.","Alta densidade e baixa resistência à corrosão.","Alta condutividade térmica e elétrica.","B"
"No contexto das ligas metálicas, qual é a principal diferença entre os aços carbono e os ferros fundidos?","Aços carbono possuem teor de carbono mais alto que os ferros fundidos.","Ferros fundidos têm maior tenacidade em relação aos aços carbono.","Ferros fundidos possuem maior teor de carbono, variando entre 2,1% e 4,0%.","Aços carbono apresentam menor ductilidade que os ferros fundidos.","C"
"A microestrutura de um material metálico é influenciada pelo tipo de processamento aplicado. Qual das alternativas descreve corretamente a microestrutura de um aço resfriado lentamente?","Apresenta maior homogeneidade com formação de martensita.","Forma grãos finos e orientados devido ao resfriamento rápido.","Apresenta uma microestrutura composta por ferrita e perlita.","Desenvolve grãos alongados e alta resistência ao impacto.","C"
"Qual alternativa abaixo descreve corretamente as propriedades dos materiais cerâmicos?","São isolantes térmicos e elétricos, possuem elevada dureza, porém são frágeis, possuem elevada temperatura de fusão.","Alta ductilidade, empregados em sistemas de engrenagens automotivas.","Elevada condutividade elétrica, aplicados em circuitos eletrônicos de alta performance.","Alta resistência ao impacto, utilizados em estruturas de construção civil.","A"
"Os materiais podem ser distinguidos de acordo com a sua classificação. Sobre a classificação dos materiais, assinale a alternativa correta","Polímeros são materiais formados por ligações metálicas e possuem alta condutividade térmica e elétrica.","Cerâmicos possuem alta ductilidade e são utilizados principalmente em aplicações elétricas e mecânicas de impacto.","Compósitos são combinações de dois ou mais materiais, projetados para unir as melhores características de cada componente.","Metais são sempre amorfos, independentemente de sua composição ou processo de fabricação.","C"
"A escolha do aço ideal para a fabricação de engrenagens está relacionada ao tipo de tratamento térmico aplicado, que visa melhorar propriedades como resistência ao desgaste e à fadiga. Uma engrenagem que exige alta resistência superficial e um núcleo mais dúctil para suportar tensões deve ser produzida com:","Aços inoxidáveis martensíticos, pois possuem alta resistência mecânica e não requerem tratamentos térmicos adicionais.","Aços de alta resistência e baixa liga (ARBL), devido à sua elevada resistência à corrosão em ambientes severos.","Aços para cementação, tratados por cementação e têmpera, para obter dureza superficial elevada e núcleo resistente.","Aços inoxidáveis ferríticos, pela alta estabilidade térmica e facilidade de conformação a quente.","C"
"Para vedação em selos mecânicos sujeitos a elevadas temperaturas e substâncias químicas agressivas, qual material seria mais adequado?","Polietileno de alta densidade (PEAD).","Polipropileno (PP).","Politetrafluoretileno como o Viton®.","Poliuretano (PU).","C"
"Considere a classificação dos materiais de acordo com sua composição e propriedades. Qual das alternativas abaixo descreve corretamente a principal diferença entre metais e polímeros?","Os polímeros têm alta resistência térmica, enquanto os metais possuem baixa resistência ao desgaste.","Os metais apresentam ligações metálicas, enquanto os polímeros possuem ligações covalentes e forças intermoleculares.","Os polímeros são altamente condutores de eletricidade, enquanto os metais são isolantes térmicos.","Os metais possuem baixa densidade, enquanto os polímeros apresentam alta densidade.","B"
"A escolha de materiais compósitos para reforço estrutural em tubulações industriais se dá principalmente devido a:","Alta densidade e baixa resistência à corrosão.","Alta rigidez e resistência combinada de seus componentes, como fibras de vidro e matrizes poliméricas.","Elevada dureza e facilidade de fabricação em altas temperaturas em comparação com metais.","Alta condutividade elétrica e resistência ao desgaste em ambientes corrosivos.","B"
"Qual alternativa abaixo descreve corretamente uma propriedade e uma aplicação de materiais cerâmicos?","Elevada resistência a esforços compressivos, utilizados em colunas de concreto na estrutura de prédios.","Alta ductilidade, empregados em sistemas de engrenagens automotivas.","Elevada condutividade elétrica, aplicados em circuitos eletrônicos de alta performance.","Alta resistência ao impacto, utilizados em estruturas de construção civil.","A"
"Os polímeros são classificados em termoplásticos, termorrígidos e elastômeros. Qual das alternativas abaixo descreve corretamente uma característica dos polímeros termoplásticos?","Possuem estrutura rígida e não podem ser reciclados após a solidificação.","São flexíveis e podem ser fundidos e remodelados várias vezes.","São utilizados em aplicações de alta temperatura devido à sua estabilidade térmica.","Apresentam alta resistência mecânica e não sofrem deformação plástica.","B"
"Os polímeros apresentam propriedades que dependem de sua estrutura molecular. Qual das alternativas abaixo é um exemplo de polímero amplamente utilizado em tubulações industriais devido à sua resistência química?","Polietileno (PE).","Fibra de vidro.","Cementita.","Aço inoxidável.","A"
"Os materiais compósitos reforçados com fibra de vidro são amplamente utilizados na indústria. Qual das características abaixo é típica desse tipo de material?","Alta flexibilidade e baixa resistência mecânica.","Alta resistência mecânica associada à leveza.","Elevada resistência à corrosão, mas com alta densidade.","Alta densidade, tornando-os ideais para aplicações submarinas.","B"
"Na classificação dos materiais, qual dos grupos abaixo é composto exclusivamente por materiais metálicos?","Polietileno, alumínio e PVC.","Aço, cobre e bronze.","Cerâmica, fibra de carbono e magnésio.","Borracha, latão e níquel.","B"
"O vidro é um material amplamente utilizado e é classificado como um material amorfo. Qual das alternativas abaixo descreve corretamente uma característica do vidro?","Possui estrutura atômica ordenada de longo alcance.","É um material que apresenta ductilidade elevada.","Apresenta alta transparência e baixa resistência ao impacto.","Conduz eletricidade devido à presença de íons livres em sua estrutura.","C"
"O processo de conformação mecânica a frio é amplamente utilizado na fabricação de componentes metálicos. Qual das alternativas abaixo explica corretamente uma vantagem desse processo?","Aumento da resistência mecânica do material devido ao encruamento, sem necessidade de tratamento térmico adicional.","Redução da resistência mecânica do material, facilitando a usinagem.","Maior ductilidade do material, permitindo a fabricação de peças mais finas e leves.","Diminuição do consumo de energia devido à redução da temperatura de fusão do metal.","A"
"O tratamento térmico de têmpera em aços tem como principal objetivo:","Reduzir a dureza e aumentar a ductilidade do material.","Aumentar a dureza e a resistência ao desgaste, formando martensita.","Uniformizar a microestrutura do aço e melhorar sua resistência à corrosão.","Diminuir as tensões residuais e facilitar a usinagem do material.","B"
"No contexto de fabricação de peças metálicas, o processo de fundição é mais adequado para:","Produção de peças com elevada resistência à tração e resistência ao impacto.","Fabricação de componentes com formas complexas e grandes dimensões a partir do estado líquido.","Produção de peças com alta precisão dimensional e sem necessidade de acabamento posterior.","Fabricação de componentes que necessitam de alta resistência mecânica devido à orientação dos grãos.","B"
"O recozimento é um tratamento térmico amplamente utilizado. Qual é o objetivo principal do recozimento pleno?","Aumentar a dureza do material por meio de transformação martensítica.","Reduzir as tensões internas e restaurar a ductilidade do material.","Criar uma camada superficial endurecida para aumentar a resistência ao desgaste.","Melhorar a condutividade elétrica do material por meio de homogeneização.","B"
"Os materiais metálicos podem ser processados por usinagem. Qual alternativa abaixo descreve corretamente uma vantagem desse processo?","Permite a fabricação de peças com alta precisão dimensional.","Reduz a densidade do material, tornando-o mais leve.","Aumenta a resistência mecânica do material devido ao encruamento.","Aumenta a ductilidade da peça.","A"
"A cementação é um tratamento termoquímico utilizado em componentes metálicos. Qual das alternativas abaixo descreve corretamente o objetivo desse processo?","Aumentar a resistência à corrosão adicionando cromo à superfície do material.","Incorporar carbono à superfície para aumentar a dureza superficial, mantendo o núcleo dúctil.","Remover impurezas da superfície metálica por meio de aquecimento controlado.","Substituir elementos de liga na matriz para melhorar a soldabilidade do material.","B"
"Os ferros fundidos têm ampla aplicação em componentes industriais devido às suas propriedades específicas. Considerando o uso de ferros fundidos cinzentos em bases de máquinas, marque a alternativa correta sobre a escolha deste material:","O ferro fundido cinzento é escolhido devido à sua elevada resistência à corrosão e alta tenacidade.","Ele é o mais indicado para aplicações que requerem deformabilidade e resistência ao impacto devido à sua estrutura homogênea.","Sua escolha se dá pela capacidade de amortecer vibrações, devido à presença de veios de grafita, o que melhora a estabilidade operacional.","O ferro fundido cinzento é escolhido por sua alta ductilidade, sendo ideal para peças submetidas a esforços dinâmicos.","C"
"No ensaio de tração, qual propriedade mecânica pode ser determinada?","Resistência à corrosão do material.","Dureza superficial do material.","Limite de resistência à tração do material.","Capacidade de suportar impactos em baixas temperaturas.","C"
"O processo de laminação é utilizado para conformar metais em chapas ou barras. Qual é uma vantagem desse processo?","Produção de peças com alta resistência mecânica devido à orientação dos grãos.","Baixa precisão dimensional sem necessidade de tratamento térmico adicional.","Aumento da densidade do material, reduzindo o risco de defeitos internos.","Melhora da resistência à corrosão por meio de redução de impurezas superficiais.","A"
"Na fabricação de componentes mecânicos, por que a forja é muitas vezes preferida à fundição?","A forja produz peças mais leves devido à menor densidade do material conformado.","Peças forjadas têm maior resistência mecânica devido à orientação dos grãos durante o processo.","O custo da forja é sempre mais baixo que o da fundição para grandes volumes.","A forja permite a fabricação de peças com maior precisão dimensional sem acabamento posterior.","B"
"Por que os metais não-ferrosos são utilizados em aplicações onde o aço é inadequado?","Devido à sua alta resistência à abrasão.","Devido à elevada dureza e resistência mecânica.","Por apresentarem custo reduzido e facilidade de produção.","Por terem características como resistência à corrosão, condutibilidade elétrica e térmicas.","D"
"Qual é a principal desvantagem do cobre no uso de equipamentos em plataformas oAshore?","Resistência elevada à corrosão em ambientes marinhos.","Dificuldade em conduzir calor e eletricidade.","Custo elevado e baixa resistência mecânica.","Baixa densidade, dificultando aplicações estruturais.","C"
"Os latões são aplicados em quais contextos da indústria de petróleo e gás?","Componentes de válvulas e trocadores de calor devido à resistência à corrosão moderada.","Estruturas de suporte em plataformas.","Fabricação de brocas de perfuração.","Isolamento térmico de tubulações.","A"
"Qual material seria mais adequado para a construção de espelhos em trocadores de calor submetidos a altas temperaturas e contato com fluidos corrosivos?","Alumínio da série 2XXX, pela elevada resistência mecânica e leveza.","Ferro fundido devido ao seu baixo custo.","Latão com até 50% de zinco, pela redução de custo e alta condu vidade térmica.","Bronze com adição de alumínio, pela excelente resistência à corrosão e à temperatura.","D"
"O que representa um risco no uso de latões em ambientes marinhos na indústria de petróleo e gás?","A formação de óxido de cobre na superfície.","A dezincificação, que é a eliminação seletiva de zinco por corrosão galvânica em águas ricas em oxigênio.","A dificuldade de soldagem devido à presença de zinco.","A baixa resistência térmica, limitando seu uso em válvulas de alta pressão.","B"
"Qual das alternativas abaixo representa corretamente uma característica obtida por meio da anodização?","Aumento da resistência mecânica geral da peça, incluindo seu núcleo.","Formação de uma camada protetora de óxido que melhora a resistência à corrosão e a estética da superfície.","Redução do peso da peça devido à formação de uma camada de óxido leve.","Alteração das propriedades térmicas e elétricas do alumínio, tornando-o um isolante.","B"
"O níquel e suas ligas são utilizados principalmente em qual função na indústria de petróleo e gás?","Principal material para fabricação de estruturas de plataformas de perfuração.","Revestimento de aços para proteção contra corrosão em sistemas de transporte e armazenamento.","Componentes de brocas e ferramentas de perfuração.","Equipamentos de isolamento térmico em unidades de refino.","B"
"Por que as ligas de magnésio são uma alternativa viável na fabricação de componentes leves?","Por apresentarem alta resistência à corrosão em ambientes marítimos.","Devido à sua baixa densidade e rigidez comparável aos plásticos de engenharia.","Por serem altamente resistentes ao impacto.","Devido ao seu baixo custo em relação ao alumínio.","B"
"Qual é o maior desafio no uso do titânio em equipamentos para exploração de petróleo em águas profundas?","Alta suscetibilidade à corrosão em água salgada.","Elevado custo, devido à complexidade dos processos de fabricação e tratamento.","Baixa resistência mecânica em ambientes agressivos.","Dificuldade de integração com outros materiais.","B"
"Qual das alternativas abaixo descreve corretamente uma aplicação típica para ligas de níquel, para ambientes sujeitos a altas temperaturas e atmosferas corrosivas?","Principal material para fabricação de estruturas de plataformas de perfuração.","Revesmento de aços para proteção contra corrosão em sistemas de transporte e armazenamento.","Componentes de brocas e ferramentas de perfuração.","Equipamentos de isolamento térmico em unidades de refino.","B"
"No processo de fabricação de eixos de transmissão, é necessário melhorar a resistência à tração e à dureza da superfície, mantendo um núcleo dúctil para resistir a tensões dinâmicas. Qual seria o tratamento térmico mais indicado?","Recozimento pleno, para reduzir tensões internas e melhorar a ductilidade.","Esferoidização, para obter uma estrutura globular e melhorar a usinabilidade.","Têmpera seguida de revenido, para obter martensita e corrigir fragilidades.","Normalização, para uniformizar a microestrutura antes da conformação mecânica.","C"
"O recozimento pleno é um tratamento térmico amplamente utilizado. Qual o objetivo principal desse processo?","Reduzir as tensões internas e restaurar a ductilidade do material.","Endurecer a superfície para aumentar a resistência ao desgaste.","Melhorar a resistência à corrosão em meios agressivos.","Criar uma camada endurecida na superfície do material.","A"
"Qual é a principal vantagem do processo de fundição?","Permite a fabricação de peças grandes e com formatos complexos.","Aumenta a resistência mecânica do material.","Reduz o peso do material para peças estruturais.","Elimina a necessidade de tratamentos térmicos posteriores.","A"
"No processo de forjamento, qual é a principal vantagem para a peça produzida?","A peça forjada fica mais resistente devido ao alinhamento dos grãos do material.","O material forjado é mais leve que o material fundido.","O forjamento não precisa de calor para ser realizado.","A peça forjada tem alta precisão dimensional sem acabamento.","A"
"O que é a galvanização e qual sua principal função?","Revestir peças com alumínio para aumentar a resistência ao calor.","Aplicar uma camada de zinco no material para proteger contra a corrosão.","Cobrir a peça com cromo para melhorar sua aparência.","Aplicar um filme plástico no material para isolar eletricamente.","B"
"O revenimento é um tratamento térmico realizado após a têmpera. Qual o principal objetivo desse processo?","Reduzir a fragilidade do aço, ajustando suas propriedades mecânicas.","Aumentar a dureza do material para aplicações estruturais.","Uniformizar a microestrutura para melhorar a resistência à corrosão.","Reduzir a ductilidade para melhorar a resistência ao desgaste.","A"
"A anodização é um tratamento de superfície aplicado principalmente em alumínio. Qual é o principal benefício desse processo?","Aumentar a dureza do núcleo do material.","Formar uma camada de óxido protetora para melhorar a resistência à corrosão.","Reduzir o peso do material em aplicações estruturais.","Melhorar a condutividade elétrica do alumínio.","B"
"A proteção catódica é amplamente utilizada para evitar a corrosão em estruturas metálicas enterradas. Qual o princípio básico desse método?","Aplicação de um revestimento não condutor na superfície metálica.","Utilização de ânodos de sacrifício para corroer preferencialmente, protegendo o metal base.","Redução da quantidade de oxigênio ao redor do metal por meio de barreiras físicas.","Substituição dos elementos mais reativos na composição do metal base.","B"
"No tratamento térmico de alívio de tensões, qual é o principal objetivo?","Reduzir tensões residuais provocadas por têmpera.","Aumentar a resistência mecânica por meio da recristalização.","Criar uma camada endurecida na superfície do material.","Aumentar a dureza e resistência mecânica.","A"
"Para proteger tubulações metálicas enterradas contra a corrosão, é comum usar uma técnica que envolve a conexão de metais mais reativos ao sistema, os quais se corroem no lugar da tubulação. Qual o nome desse método de proteção?","Revestimento simples com tintas.","Proteção catódica por ânodos de sacrifício.","Recozimento para alívio de tensões internas.","Anodização com camadas de óxido protetor.","B"