"A partir de que diferença de nível, onde haja risco de queda, a NR-35 se aplica?","1,0 metro","1,5 metros","2,0 metros","2,5 metros","c"
"Qual é a carga horária mínima para o treinamento inicial em trabalho em altura?","4 horas","6 horas","8 horas","16 horas","c"
"Com que periodicidade deve ser realizado o treinamento periódico para trabalho em altura?","Anualmente","A cada dois anos","A cada três anos","A cada cinco anos","b"
"Quem é considerado um trabalhador 'autorizado' para trabalho em altura?","Aquele que possui experiência prática.","Aquele que é capacitado e considerado clinicamente apto.","Aquele que é designado pelo supervisor.","Aquele que assinou o procedimento operacional.","b"
"Segundo a hierarquia de planejamento, qual é a primeira medida a ser adotada?","Minimizar as consequências da queda.","Eliminar o risco de queda dos trabalhadores.","Utilizar EPI adequado.","Evitar o trabalho em altura.","d"
"O que é obrigatório sempre que não for possível evitar o trabalho em altura?","Permissão de Trabalho (PT).","Utilização de Sistema de Proteção Contra Quedas (SPQ).","Supervisão presencial constante.","Treinamento de resgate específico.","b"
"O que deve conter um procedimento operacional para atividades rotineiras de trabalho em altura?","Apenas a descrição da tarefa.","Detalhamento da tarefa, medidas de prevenção, condições impeditivas, sistemas de proteção e competências.","Apenas a lista de EPIs necessários.","Apenas a assinatura do supervisor.","b"
"Para atividades não rotineiras de trabalho em altura, qual documento é necessário?","Análise Preliminar de Risco (APR).","Ordem de Serviço.","Permissão de Trabalho (PT).","Checklist de Inspeção.","c"
"Qual a validade da Permissão de Trabalho (PT) para trabalho em altura?","Válida por uma semana.","Válida por um mês.","Válida pela duração da atividade, restrita ao turno ou jornada.","Válida até que as condições do local mudem.","c"
"Quem deve selecionar o Sistema de Proteção Contra Quedas (SPQ) de acordo com a Análise de Risco?","O trabalhador que irá executar a tarefa.","A equipe de manutenção.","Profissional qualificado ou legalmente habilitado em segurança do trabalho.","O encarregado da obra.","c"
"Qual a força de impacto máxima que um Sistema de Proteção Individual Contra Quedas (SPIQ) pode transmitir ao trabalhador?","4 kN","6 kN","8 kN","10 kN","b"
"Com que periodicidade mínima deve ser realizada a inspeção periódica do SPIQ?","A cada 3 meses.","A cada 6 meses.","A cada 12 meses.","A cada 24 meses.","c"
"O que deve ser feito com um elemento do SPIQ que sofreu impacto de queda?","Pode ser reutilizado após inspeção visual.","Deve ser reparado pela equipe de manutenção.","Deve ser inutilizado e descartado.","Deve ser guardado para futura análise.","c"
"No SPIQ de retenção de queda, qual EPI deve ser utilizado?","Cinturão de segurança tipo talabarte.","Cinturão de segurança tipo paraquedista.","Capacete com jugular.","Cinto abdominal simples.","b"
"Qual elemento deve ser integrado ao talabarte quando utilizado para retenção de quedas, conforme a redação vigente a partir de 02/01/2026?","Um mosquetão de aço.","Uma polia de resgate.","Um absorvedor de energia.","Um dispositivo trava-quedas deslizante.","c"
"O que a organização deve estabelecer para cenários de emergência em trabalho em altura?","Apenas um kit de primeiros socorros.","Procedimentos de resposta, considerando perigos, equipe, tempo e técnicas de resgate.","Um seguro de vida para os trabalhadores.","Um plano de evacuação geral.","b"
"O que significa 'suspensão inerte' no contexto da NR-35?","O trabalhador está pendurado por um sistema de posicionamento.","Situação em que o trabalhador permanece suspenso pelo sistema de segurança até o momento do socorro.","A pausa obrigatória durante o trabalho em altura.","O travamento automático do trava-quedas.","b"
"Para acesso por cordas, quantos trabalhadores certificados são necessários, no mínimo, para constituir a equipe?","Apenas 1.","Pelo menos 2, sendo um deles o supervisor.","Pelo menos 3.","Pelo menos 4, sendo um deles o socorrista.","b"
"Em trabalho com acesso por cordas, o trabalhador deve estar conectado a quantas cordas em pontos de ancoragem independentes?","Apenas 1 corda.","Pelo menos 2 cordas.","Pelo menos 3 cordas.","Não é obrigatória a conexão em múltiplas cordas.","b"
"Qual condição climática impeditiva determina a interrupção IMEDIATA do trabalho por acesso por cordas?","Chuva leve.","Temperatura acima de 35°C.","Ventos superiores a 40 km/h.","Neblina.","c"
"Quem pode projetar um Sistema de Proteção Coletiva Contra Quedas (SPCQ)?","Qualquer trabalhador capacitado.","Profissional legalmente habilitado.","O fornecedor do equipamento.","O técnico em segurança do trabalho.","b"
"O que é um 'Sistema de restrição de movimentação'?","SPQ que evita qualquer movimentação do trabalhador.","SPQ que limita a movimentação de modo que o trabalhador não fique exposto a risco de queda.","SPQ usado apenas para resgate.","SPQ que permite queda livre limitada.","b"
"Qual a definição de 'Fator de queda'?","Altura do trabalhador em relação ao solo.","Razão entre a distância da queda e o comprimento do equipamento que irá detê-la.","Força aplicada no ponto de ancoragem.","Tempo entre o início da queda e a sua retenção.","b"
"O que deve ser considerado na Avaliação Prévia mencionada no glossário?","Apenas os riscos já previstos na AR.","Eventos indesejáveis não passíveis de previsão nas ARs, em situações específicas que fogem à normalidade.","Apenas as condições meteorológicas.","Apenas o estado dos equipamentos.","b"
"Qual a periodicidade máxima para inspeção periódica de sistemas de ancoragem permanentes?","3 meses.","6 meses.","12 meses.","24 meses.","c"
"De acordo com o Anexo II, quem pode instalar um sistema de ancoragem?","Apenas o profissional legalmente habilitado que o projetou.","Trabalhadores capacitados.","Qualquer membro da equipe de trabalho em altura.","Apenas o supervisor.","b"
"O que é uma 'condição impeditiva'?","Situação que torna o trabalho mais difícil.","Situação que impede a realização ou continuidade do serviço por colocar em risco a saúde ou integridade do trabalhador.","A necessidade de um treinamento adicional.","A falta de um EPI específico.","b"
"Qual documento funcional deve conter a autorização do trabalhador para trabalho em altura?","Carteira de Trabalho.","Atestado de Saúde Ocupacional (ASO).","Procedimento Operacional.","Os documentos funcionais do empregado (ex: ficha cadastral, registro).","d"
"Quem deve ministrar os treinamentos de trabalho em altura?","Qualquer trabalhador experiente.","Instrutores com comprovada proficiência no assunto, sob responsabilidade de profissional qualificado/habilitado em segurança.","Apenas engenheiros de segurança do trabalho.","O responsável pelo setor de RH.","b"
"A avaliação do estado de saúde para trabalho em altura deve seguir o estabelecido em qual NR?","NR-06","NR-07","NR-17","NR-18","b"
"O que a Análise de Risco (AR) deve considerar sobre os sistemas de proteção?","Apenas a marca do equipamento.","Seleção, inspeção, forma de utilização e limitação de uso, atendendo normas e princípios de redução de impacto.","Apenas o custo dos equipamentos.","Apenas a opinião dos trabalhadores.","b"
"Qual a finalidade do absorvedor de energia?","Aumentar a distância de queda livre.","Limitar a força de impacto transmitida ao trabalhador pela dissipação da energia cinética.","Tornar o talabarte mais flexível.","Servir como ponto de conexão extra.","b"
"O que é 'Zona Livre de Queda' (ZLQ)?","A área onde o trabalho é realizado.","O espaço mínimo abaixo do ponto de ancoragem (ou pés do usuário) para evitar choques após uma queda.","A distância máxima permitida para o trabalhador se deslocar.","A área de resgate designada.","b"
"O Anexo III (Escadas de Uso Individual) estabelece que a escada portátil de uso individual deve ser usada por:","No máximo duas pessoas de cada vez.","Uma pessoa de cada vez, exceto se especificado pelo fabricante.","No máximo três pessoas de cada vez.","Quantas pessoas couberem nos degraus.","b"
"Qual a altura máxima para uma escada fixa vertical de uso individual sem plataforma de descanso?","5,00 m","6,00 m","10,00 m","12,00 m","c"
"Durante a subida e descida de escadas portáteis, quantos pontos de apoio o trabalhador deve manter?","1 ponto","2 pontos","3 pontos","4 pontos","c"
"Qual a inclinação que define uma 'escada fixa vertical'?","Menos de 60°.","Entre 60° e 75°.","Mais de 75° até 90°.","Exatamente 90°.","c"
"Qual a extensão mínima que a escada portátil de encosto deve ultrapassar o nível superior quando usada como acesso?","0,5 m","1,0 m","1,5 m","2,0 m","b"
"Quando a utilização de uma escada fixa vertical de uso individual é permitida conforme a hierarquia?","Sempre que for mais barata.","Em caso de comprovada inviabilidade técnica de outros meios de acesso.","Quando o trabalhador preferir.","Em acessos com pouca frequência de uso.","b"
"O que deve ser feito com uma escada de uso individual que apresenta defeitos?","Pode ser usada com cautela.","Deve ser retirada de uso.","Deve ser marcada com um aviso.","Deve ser reparada pelo próprio usuário.","b"
"Para trabalho em altura, a supervisão:","Deve ser sempre presencial.","Deve ser sempre remota.","Pode ser presencial, semipresencial ou remota, conforme definido na AR.","Não é obrigatória para atividades rotineiras.","c"
"O que significa 'proficiência' do instrutor, segundo o glossário?","Possuir diploma de curso técnico.","Competência, aptidão, capacitação e habilidade aliadas à experiência profissional comprovada.","Ser funcionário da empresa há mais de 5 anos.","Ter realizado o trabalho em altura anteriormente.","b"
"Quando é obrigatório o uso de cinturão de segurança tipo paraquedista?","Em todo e qualquer trabalho acima de 2 metros.","No SPIQ de retenção de queda e no de acesso por cordas.","Apenas em torres de telecomunicações.","Quando determinado pelo trabalhador.","b"
"O que a organização deve garantir em relação às empresas prestadoras de serviço?","Pagamento em dia.","Acompanhamento do cumprimento das medidas de prevenção da NR-35.","Fornecimento de todos os EPIs.","Treinamento dos funcionários da prestadora.","b"
"O que a AR deve considerar sobre 'trabalhos simultâneos'?","Apenas o horário de início de cada um.","Os riscos específicos que eles possam apresentar.","A empresa responsável por cada trabalho.","O custo total das atividades.","b"
"Qual a principal característica do 'Sistema de Posicionamento no Trabalho'?","Permitir a queda livre controlada.","Permitir que o trabalhador fique posicionado no local de trabalho, suspenso, sem usar as mãos.","Ser usado apenas para resgate.","Ser um tipo de andaime.","b"
"O que deve conter a marcação de um ponto de ancoragem estrutural?","Apenas a cor.","Identificação do fabricante, número de lote/série e força máxima aplicável/nº máximo de usuários.","Apenas a data de instalação.","Apenas o nome do instalador.","b"
"O Anexo de Acesso por Cordas NÃO se aplica a qual situação?","Manutenção em torres eólicas.","Limpeza de fachadas de prédios.","Atividades de espeleologia.","Instalação de publicidade em estruturas altas.","c"
"Qual a frequência mínima de inspeção periódica para cordas de acesso por cordas?","12 meses.","6 meses.","3 meses.","1 mês.","b"
"O que a equipe de trabalho em acesso por cordas deve ser capacitada a fazer, além do trabalho normal?","Apenas a usar os equipamentos.","Autorresgate e resgate da própria equipe.","Apenas a prestar primeiros socorros.","Apenas a comunicar emergências.","b"